# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_exon_loss_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
5S_rRNA	ENSECAG00000026370	ENSECAT00000028382	rRNA	0	0	0	212	0	0	0	0	0	0	0	74	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	134
5S_rRNA	ENSECAG00000031349	ENSECAT00000048172	rRNA	0	0	0	330	0	0	0	0	0	0	0	178	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	140
5S_rRNA	ENSECAG00000033199	ENSECAT00000045968	rRNA	0	0	0	337	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172
5_8S_rRNA	ENSECAG00000027377	ENSECAT00000029543	rRNA	0	0	0	661	0	0	0	0	0	0	0	222	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	435
A1CF	ENSECAG00000010424	ENSECAT00000010923	protein_coding	0	23	6	670	0	0	0	0	0	0	0	61	0	0	0	558	6	0	0	0	0	1	0	0	0	0	0	22	52
AAGAB	ENSECAG00000013142	ENSECAT00000013887	protein_coding	4	32	12	929	0	0	0	0	0	0	0	115	0	0	0	725	12	0	0	1	4	5	0	0	0	0	0	29	96
AAGAB	ENSECAG00000013142	ENSECAT00000035632	protein_coding	4	31	10	2248	0	0	0	0	0	0	0	115	0	0	0	2049	10	0	0	1	4	5	0	0	0	0	0	28	91
AAGAB	ENSECAG00000013142	ENSECAT00000050068	protein_coding	3	24	8	942	0	0	0	0	0	0	0	115	0	0	0	736	8	0	0	0	3	3	0	0	0	0	0	22	96
AAGAB	ENSECAG00000013142	ENSECAT00000058688	protein_coding	4	27	16	2016	0	0	0	0	0	0	0	71	0	0	0	1856	16	0	0	1	4	6	0	0	0	0	0	24	96
AAGAB	ENSECAG00000013142	ENSECAT00000068431	protein_coding	4	27	12	934	0	0	0	0	0	0	0	115	0	0	0	730	12	0	0	1	4	5	0	0	0	0	0	24	96
ABCB10	ENSECAG00000017883	ENSECAT00000018939	protein_coding	2	94	38	737	24	0	0	1	0	0	0	125	0	2	0	527	37	0	0	0	0	4	0	0	0	0	0	92	63
ABCC2	ENSECAG00000019828	ENSECAT00000022408	protein_coding	0	28	30	757	0	0	3	0	0	0	0	74	0	0	0	643	30	0	0	0	0	6	0	0	0	0	0	23	42
ABCC2	ENSECAG00000019828	ENSECAT00000022440	protein_coding	0	28	30	757	0	0	3	0	0	0	0	74	0	0	0	643	30	0	0	0	0	6	0	0	0	0	0	23	42
ABCC2	ENSECAG00000019828	ENSECAT00000062248	protein_coding	0	28	30	757	0	0	3	0	0	0	0	74	0	0	0	643	30	0	0	0	0	6	0	0	0	0	0	23	42
ABHD12B	ENSECAG00000009385	ENSECAT00000009606	protein_coding	1	6	9	562	0	0	0	0	0	0	0	53	0	0	0	403	9	0	0	0	0	3	0	0	1	0	0	3	109
ABHD12B	ENSECAG00000009385	ENSECAT00000073686	protein_coding	0	5	7	566	0	0	0	0	0	0	0	53	0	0	0	407	7	0	0	0	0	3	0	0	0	0	0	2	109
ABHD17C	ENSECAG00000034056	ENSECAT00000045366	protein_coding	5	30	3	1478	0	3	13	0	0	0	0	83	0	0	0	1273	3	0	0	3	1	10	0	0	1	0	0	18	122
ABHD2	ENSECAG00000011528	ENSECAT00000012062	protein_coding	1	83	7	1403	56	1	3	0	0	0	0	241	0	0	0	1022	7	0	0	1	0	5	0	0	0	0	0	77	86
ABHD2	ENSECAG00000011528	ENSECAT00000054280	protein_coding	1	82	9	1653	43	0	0	0	0	0	0	249	0	0	0	1289	9	0	0	1	0	5	0	0	0	0	0	78	77
ABHD4	ENSECAG00000002199	ENSECAT00000003088	protein_coding	2	63	16	508	58	0	0	0	0	0	0	99	0	1	0	248	16	0	0	0	1	6	0	0	0	0	0	59	108
ABHD4	ENSECAG00000002199	ENSECAT00000058885	protein_coding	2	53	18	437	0	0	5	0	0	0	0	150	0	2	0	204	18	0	0	0	0	5	0	0	0	0	0	49	81
ABLIM1	ENSECAG00000024113	ENSECAT00000026330	protein_coding	3	57	15	1628	0	0	0	0	0	0	0	159	0	0	0	1384	15	0	0	0	3	6	0	0	0	0	0	51	94
ABLIM1	ENSECAG00000024113	ENSECAT00000026331	protein_coding	2	51	12	4678	2	1	7	0	0	0	0	128	0	0	0	4454	12	0	0	0	2	5	0	0	0	0	0	45	94
ABLIM1	ENSECAG00000024113	ENSECAT00000026341	protein_coding	3	58	17	3428	0	0	0	0	0	0	0	159	0	0	0	3197	17	0	0	0	3	6	0	0	0	0	0	52	81
ABLIM1	ENSECAG00000024113	ENSECAT00000034662	protein_coding	3	59	15	4726	0	1	7	0	0	0	0	159	0	0	0	4475	15	0	0	0	3	6	0	0	0	0	0	52	94
ABLIM1	ENSECAG00000024113	ENSECAT00000034732	protein_coding	2	46	11	4684	2	1	7	0	0	0	0	128	0	0	0	4461	11	0	0	0	2	6	0	0	0	0	0	39	94
ABLIM1	ENSECAG00000024113	ENSECAT00000038024	protein_coding	3	61	15	4724	0	1	7	0	0	0	0	159	0	0	0	4473	15	0	0	0	3	6	0	0	0	0	0	54	94
ABLIM1	ENSECAG00000024113	ENSECAT00000047677	protein_coding	2	55	12	4674	2	1	7	0	0	0	0	128	0	0	0	4451	12	0	0	0	2	6	0	0	0	0	0	48	94
ABLIM1	ENSECAG00000024113	ENSECAT00000072871	protein_coding	3	57	17	3062	0	0	0	0	0	0	0	159	0	0	0	2779	17	0	0	0	3	5	0	0	0	0	0	52	132
ABLIM1	ENSECAG00000024113	ENSECAT00000078883	protein_coding	2	54	12	2561	2	0	0	0	0	0	0	128	0	0	0	2377	12	0	0	0	2	6	0	0	0	0	0	48	62
ABRAXAS2	ENSECAG00000023340	ENSECAT00000025029	protein_coding	1	53	29	519	0	0	1	0	0	0	0	138	0	1	0	290	29	0	0	0	0	2	0	0	0	0	1	51	91
ABRAXAS2	ENSECAG00000023340	ENSECAT00000037692	protein_coding	1	53	28	470	0	0	7	0	0	0	0	138	0	1	0	251	28	0	1	0	0	2	0	0	0	0	1	51	74
ACAN	ENSECAG00000007493	ENSECAT00000040213	protein_coding	11	114	117	852	4	1	13	6	0	8	3	80	0	9	0	698	100	0	0	0	0	1	0	0	2	0	0	112	58
ACAN	ENSECAG00000007493	ENSECAT00000065480	protein_coding	11	115	117	851	4	1	13	6	0	8	3	80	0	9	0	698	100	0	0	0	0	2	0	0	2	0	0	112	58
ACIN1	ENSECAG00000021097	ENSECAT00000022804	protein_coding	14	155	84	915	41	0	7	2	1	0	0	110	0	8	0	569	81	0	0	6	1	19	0	0	0	0	0	140	209
ACIN1	ENSECAG00000021097	ENSECAT00000044073	protein_coding	12	148	75	933	41	0	7	2	1	0	0	110	0	6	0	587	72	0	0	6	1	19	0	0	0	0	0	133	209
ACIN1	ENSECAG00000021097	ENSECAT00000049999	protein_coding	5	81	14	470	41	0	0	0	0	1	0	110	0	0	0	296	13	0	0	5	1	15	0	0	0	0	0	70	39
ACIN1	ENSECAG00000021097	ENSECAT00000059925	protein_coding	14	155	85	914	41	0	7	2	1	0	0	110	0	8	0	568	82	0	0	6	1	19	0	0	0	0	0	140	209
ACIN1	ENSECAG00000021097	ENSECAT00000070004	protein_coding	5	84	11	469	41	2	11	0	0	0	0	110	1	0	0	272	11	0	0	4	2	16	0	0	0	0	0	71	51
ACSBG1	ENSECAG00000008703	ENSECAT00000009358	protein_coding	0	27	8	903	0	0	0	0	0	0	0	183	0	0	0	700	8	0	0	0	0	2	0	0	0	0	0	25	22
ACSBG1	ENSECAG00000008703	ENSECAT00000043211	protein_coding	0	27	6	1043	0	0	0	0	0	0	0	183	0	0	0	815	6	0	0	0	0	2	0	0	0	0	0	25	47
ACSBG1	ENSECAG00000008703	ENSECAT00000055447	protein_coding	0	28	9	1039	0	0	0	0	0	0	0	183	0	0	0	811	9	0	0	0	0	2	0	0	0	0	0	26	47
ACSL5	ENSECAG00000022003	ENSECAT00000024258	protein_coding	5	38	35	739	0	0	0	0	0	1	0	155	0	3	0	527	34	0	0	3	1	4	0	0	0	0	0	37	61
ACSL5	ENSECAG00000022003	ENSECAT00000046426	protein_coding	5	41	35	767	0	0	1	0	0	1	0	155	0	3	0	542	34	0	0	3	0	7	0	0	0	0	0	37	76
ACSL5	ENSECAG00000022003	ENSECAT00000052866	protein_coding	5	43	35	559	0	2	11	0	0	1	0	155	0	3	0	341	34	0	0	3	1	7	0	0	0	0	0	37	59
ACSL5	ENSECAG00000022003	ENSECAT00000053211	protein_coding	5	41	35	1042	0	1	7	0	0	1	0	128	0	3	0	824	34	0	0	3	1	7	0	0	0	0	0	36	90
ACSL5	ENSECAG00000022003	ENSECAT00000057091	protein_coding	4	42	31	565	0	2	11	0	0	1	0	155	0	3	0	346	30	0	0	2	1	7	0	0	0	0	0	36	59
ACSL5	ENSECAG00000022003	ENSECAT00000059584	protein_coding	5	40	34	534	0	0	1	0	0	1	0	155	0	3	0	328	33	0	0	3	1	6	0	0	0	0	0	37	56
ACTA1	ENSECAG00000000207	ENSECAT00000000176	protein_coding	11	150	36	187	0	0	0	1	0	2	0	71	0	8	0	40	34	0	0	2	4	10	0	0	0	0	0	147	84
ACTA2	ENSECAG00000015145	ENSECAT00000016072	protein_coding	3	87	0	304	11	0	3	0	0	0	0	87	0	1	0	150	0	0	0	0	3	4	0	0	0	0	0	85	58
ACTA2	ENSECAG00000015145	ENSECAT00000033956	protein_coding	3	87	0	304	11	0	0	0	0	0	0	87	0	1	0	155	0	0	0	0	3	4	0	0	0	0	0	85	56
